Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
245,00:00:08.175,2.4350462962962967,2.9636458333333335,2.1543923611111113,2.1871006944444447
246,00:00:08.208,2.711521990740741,3.759548611111111,2.010625,2.3643923611111113
247,00:00:08.242,2.605202546296296,2.957708333333333,2.49234375,2.3655555555555554
248,00:00:08.275,2.5369386574074073,3.098333333333333,2.2422916666666666,2.270190972222222
249,00:00:08.308,3.0605324074074076,4.045121527777778,2.520138888888889,2.6163368055555556
250,00:00:08.342,2.724513888888889,3.1097569444444444,2.62390625,2.4398784722222224
251,00:00:08.375,2.9497569444444447,3.5922916666666667,2.6463715277777777,2.610607638888889
252,00:00:08.408,3.564415509259259,4.575538194444444,3.020625,3.0970833333333334
253,00:00:08.442,2.5877025462962964,2.969982638888889,2.47640625,2.31671875
254,00:00:08.475,3.1411516203703704,3.94125,2.725607638888889,2.756597222222222
255,00:00:08.508,3.5382812500000003,4.7923784722222225,2.6902951388888887,3.1321701388888887
256,00:00:08.542,2.6936863425925925,3.05640625,2.5140451388888887,2.5106076388888887
257,00:00:08.575,2.931099537037037,3.5207118055555555,2.6480208333333333,2.6245659722222223
258,00:00:08.609,4.075717592592593,5.2321875,3.5366145833333333,3.4583506944444444
259,00:00:08.642,5.1238020833333335,5.856006944444444,4.824878472222222,4.690520833333333
260,00:00:08.675,7.856597222222223,7.647204861111111,7.988003472222222,7.934583333333333
261,00:00:08.709,16.250862268518517,17.7575,16.62404513888889,14.371041666666667
262,00:00:08.742,15.419097222222222,17.477586805555557,15.464253472222222,13.315451388888889
263,00:00:08.775,14.11275462962963,15.753368055555555,14.596527777777778,11.988368055555556
264,00:00:08.809,14.464855324074074,16.395399305555557,14.708177083333334,12.290989583333333
265,00:00:08.842,14.478125,16.282534722222223,14.82251736111111,12.329322916666667
266,00:00:08.876,14.43109375,16.359982638888887,14.620590277777778,12.312708333333333
267,00:00:08.909,13.972222222222221,15.69921875,14.296527777777778,11.920920138888889
268,00:00:08.942,13.764224537037038,15.468628472222223,13.981336805555555,11.842708333333333
269,00:00:08.976,13.395462962962961,14.965677083333333,13.584826388888889,11.635885416666667
270,00:00:09.009,12.82054398148148,14.095677083333333,13.15814236111111,11.2078125
271,00:00:09.042,12.965266203703704,14.433315972222223,13.239618055555555,11.222864583333333
272,00:00:09.076,12.689224537037036,14.074548611111112,12.905,11.088125
273,00:00:09.109,12.322042824074074,13.329201388888889,12.735052083333333,10.901875
274,00:00:09.142,12.253159722222222,13.433107638888888,12.486354166666667,10.84001736111111
275,00:00:09.176,12.183640046296295,13.503663194444444,12.259496527777777,10.787760416666666
276,00:00:09.209,12.027743055555556,12.975711805555555,12.433489583333333,10.674027777777777
277,00:00:09.243,11.895520833333334,13.110399305555555,12.02609375,10.550069444444444
278,00:00:09.276,11.660775462962965,13.069895833333334,11.53717013888889,10.375260416666666
279,00:00:09.309,10.956487268518517,12.141840277777778,10.920677083333333,9.806944444444444
280,00:00:09.343,10.829913194444444,12.005295138888888,10.734739583333333,9.74970486111111
281,00:00:09.376,10.655243055555554,12.060850694444444,10.311111111111112,9.59376736111111
282,00:00:09.409,10.311805555555557,11.67640625,10.102743055555555,9.15626736111111
283,00:00:09.443,10.188333333333333,11.716180555555555,9.823350694444445,9.02546875
284,00:00:09.476,10.257835648148147,11.815104166666666,9.776423611111111,9.181979166666666
285,00:00:09.510,9.499438657407408,10.853229166666667,9.324670138888889,8.320416666666667
286,00:00:09.543,9.49745949074074,11.00029513888889,9.157239583333334,8.33484375
287,00:00:09.576,9.77109375,12.022864583333334,8.787743055555556,8.502673611111112
288,00:00:09.610,9.02967013888889,10.767135416666667,8.360243055555555,7.961631944444444
289,00:00:09.643,9.247604166666667,11.425833333333333,8.193541666666667,8.1234375
290,00:00:09.676,9.266197916666668,11.395503472222222,8.147916666666667,8.255173611111111
291,00:00:09.710,9.148761574074074,11.070538194444444,8.079305555555555,8.296440972222221
292,00:00:09.743,9.815474537037039,12.294270833333334,8.455694444444445,8.696458333333334
293,00:00:09.776,8.640075231481482,10.131979166666667,7.929496527777777,7.85875
294,00:00:09.810,8.571712962962962,10.052586805555556,7.871128472222222,7.791423611111111
295,00:00:09.843,8.977881944444444,11.218159722222222,7.840208333333333,7.875277777777778
296,00:00:09.877,8.000758101851853,9.25810763888889,7.520052083333334,7.224114583333333
