Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
319,00:10.6,22.36168077,29.28531901,16.86431207,20.93541124
320,00:10.7,22.25649233,29.32777235,16.70396593,20.73773872
321,00:10.7,22.04008427,29.05430773,16.32695855,20.73898655
322,00:10.7,21.64443179,28.37350803,16.06125217,20.49853516
323,00:10.8,22.99634693,30.69577365,17.15207248,21.14119466
324,00:10.8,22.51706272,29.28450521,17.1234809,21.14320204
325,00:10.8,22.2685999,29.23784722,16.61132813,20.95662435
326,00:10.9,22.34133572,29.07996962,16.53778754,21.40625
327,00:10.9,23.04206453,30.08262804,17.08211263,21.96145291
328,00:10.9,23.21541341,30.45250109,17.18671332,22.00702582
329,00:11.0,23.11085793,30.47835286,16.90266927,21.95155165
330,00:11.0,22.18806062,28.59201389,16.64713542,21.32503255
331,00:11.0,21.67157661,28.11960178,16.0578342,20.83729384
332,00:11.1,21.66258861,27.89602322,16.10725911,20.98448351
333,00:11.1,22.43653248,29.31350369,17.02484809,20.97124566
334,00:11.1,22.47345197,29.36664497,17.07093641,20.98277452
335,00:11.2,22.84799081,30.11873372,17.07484266,21.35039605
336,00:11.2,22.87293837,30.33623589,17.01939562,21.26318359
337,00:11.2,22.17801468,29.31155056,16.55615234,20.66634115
338,00:11.3,21.6155599,28.63793945,15.81534831,20.39339193
339,00:11.3,21.15700051,27.26654731,15.10036892,21.10408529
340,00:11.3,20.18426288,26.12136502,14.79188368,19.63953993
341,00:11.4,20.58536784,27.0082194,15.01535373,19.73253038
342,00:11.4,19.97376845,26.26649306,14.32042101,19.33439128
343,00:11.4,19.96587457,26.39881727,14.13579644,19.36300998
344,00:11.5,19.63632089,26.2848036,13.67209201,18.95206706
345,00:11.5,19.55859375,26.20114475,13.59673394,18.87790256
346,00:11.5,18.94864909,25.18123372,13.26546224,18.3992513
347,00:11.6,18.69625289,24.55840386,13.05091688,18.47943793
348,00:11.6,16.5831344,21.26331923,11.62727865,16.85880534
349,00:11.6,14.81533022,19.01098633,10.40516493,15.02983941
350,00:11.7,13.75399667,17.45662435,9.664089627,14.14127604
351,00:11.7,13.86159035,17.89029948,9.409640842,14.28483073
352,00:11.7,13.57143374,17.54427083,9.167724609,14.00230577
353,00:11.8,13.47952836,17.34467231,9.07272678,14.02118598
354,00:11.8,13.8361093,17.51505534,9.518337674,14.4749349
355,00:11.8,15.89112232,21.01586914,10.25827365,16.39922418
356,00:11.9,16.07373951,20.72520616,10.94533963,16.55067274
357,00:11.9,17.90854673,23.70458984,11.71736654,18.30368381
358,00:11.9,17.03125,22.69089084,11.47688802,16.92597114
359,00:12.0,18.11113824,24.87285699,11.68806966,17.77248806
360,00:12.0,21.35842556,30.11387804,12.26261393,21.69878472
